Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C-PF,24,TOT,45,895,14.1,.523,.229,.185,12.5,20.4,16.5,9.4,1.5,3.0,12.2,17.2,,0.4,1.2,1.6,.086,,-2.0,0.2,-1.9,0.0,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,15.0,.512,.276,.247,12.5,22.2,17.2,14.2,1.8,2.4,13.3,21.4,,0.0,0.5,0.5,.054,,-1.5,-0.1,-1.6,0.0,achiupr01
1,Precious Achiuwa,PF,24,NYK,20,458,13.2,.538,.164,.098,12.6,18.8,15.7,4.7,1.2,3.6,10.5,13.2,,0.4,0.7,1.1,.116,,-2.5,0.4,-2.1,0.0,achiupr01
2,Bam Adebayo,C,26,MIA,42,1450,19.3,.568,.017,.428,7.1,27.7,17.2,19.4,1.4,2.8,12.0,25.9,,1.4,2.4,3.8,.126,,0.3,1.3,1.6,1.3,adebaba01
3,Ochai Agbaji,SG,23,UTA,51,1003,8.0,.531,.570,.080,3.9,9.8,6.9,6.0,1.3,2.5,11.7,12.1,,0.1,0.6,0.6,.030,,-2.7,-0.3,-3.0,-0.2,agbajoc01
4,Santi Aldama,PF,23,MEM,40,975,13.2,.541,.523,.152,5.1,21.0,12.7,12.5,1.3,2.6,10.5,19.4,,0.0,1.3,1.3,.064,,-0.6,0.4,-0.2,0.5,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,52,1197,9.6,.553,.662,.123,2.2,7.0,4.7,14.7,1.8,1.9,13.1,13.5,,0.5,1.9,2.4,.097,,-2.0,1.9,-0.1,0.6,alexani01
6,Grayson Allen,SG,28,PHO,46,1514,13.7,.699,.622,.224,2.4,11.0,7.0,12.6,1.3,1.7,13.0,13.9,,2.8,1.3,4.1,.131,,1.0,0.0,1.0,1.1,allengr01
7,Jarrett Allen,C,25,CLE,45,1370,22.0,.672,.007,.379,13.0,24.9,19.1,13.4,1.3,3.5,13.5,18.9,,3.8,2.7,6.4,.225,,1.8,1.7,3.5,1.9,allenja01
8,Jose Alvarado,PG,25,NOP,33,538,13.6,.549,.588,.180,2.7,11.5,7.1,15.0,3.1,1.8,9.9,18.5,,0.3,0.8,1.1,.102,,-1.0,1.8,0.8,0.4,alvarjo01
9,Kyle Anderson,PF,30,MIN,52,1137,12.2,.522,.117,.355,4.4,13.2,9.1,24.4,1.8,2.2,17.7,14.4,,0.7,2.0,2.7,.115,,-1.6,2.7,1.0,0.9,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,50,1764,29.2,.647,.095,.589,8.3,26.0,17.4,30.6,1.8,2.5,13.0,33.2,,6.0,2.4,8.4,.229,,6.2,2.0,8.1,4.5,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,20,83,3.3,.500,.000,.000,5.5,5.1,5.3,13.2,1.1,2.9,36.0,12.8,,-0.1,0.1,-0.1,-0.051,,-8.1,-1.1,-9.2,-0.2,antetth01
12,Cole Anthony,PG,23,ORL,51,1173,14.3,.551,.348,.352,4.3,15.6,9.9,20.4,1.8,1.7,14.1,23.7,,0.5,1.7,2.2,.090,,-1.1,0.6,-0.5,0.5,anthoco01
13,OG Anunoby,SF,26,TOT,41,1400,13.4,.609,.475,.176,3.1,10.5,6.8,9.3,1.9,1.8,10.7,17.6,,1.3,1.3,2.6,.088,,-0.6,0.5,-0.2,0.6,anunoog01
13,OG Anunoby,SF,26,TOR,27,900,12.5,.598,.508,.143,2.9,10.3,6.5,11.2,1.5,1.3,11.2,18.3,,0.5,0.5,1.1,.058,,-1.0,-0.6,-1.6,0.1,anunoog01
13,OG Anunoby,SF,26,NYK,14,500,15.0,.630,.408,.242,3.3,11.0,7.2,5.9,2.5,2.8,9.9,16.4,,0.7,0.8,1.5,.141,,0.0,2.4,2.4,0.6,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,45,-1.9,.000,1.000,.000,0.0,19.6,9.8,10.2,2.2,0.0,25.0,7.6,,-0.1,0.1,-0.1,-0.084,,-11.8,2.0,-9.8,-0.1,arcidry01
15,Deni Avdija,SF,23,WAS,50,1366,14.6,.596,.283,.320,3.8,20.5,12.0,19.1,1.4,1.2,15.0,19.1,,1.0,0.9,2.0,.069,,-0.9,-0.1,-1.0,0.3,avdijde01
16,Deandre Ayton,C,25,POR,34,1083,16.2,.575,.000,.121,10.2,27.0,18.1,8.3,1.5,2.1,12.8,18.4,,0.7,1.2,1.9,.086,,-1.3,-0.3,-1.6,0.1,aytonde01
17,Udoka Azubuike,C,24,PHO,13,103,13.6,.652,.000,.500,13.1,21.1,17.3,4.0,0.0,5.1,13.0,13.0,,0.1,0.1,0.3,.118,,-2.5,-0.2,-2.8,0.0,azubuud01
18,Ibou Badji,C,21,POR,14,173,8.6,.595,.000,.400,11.1,18.1,14.4,7.6,0.6,9.9,40.5,7.3,,0.0,0.2,0.2,.048,,-7.8,2.3,-5.5,-0.1,badjiib01
19,Marvin Bagley III,C,24,TOT,34,670,19.0,.639,.035,.407,12.8,17.9,15.3,8.7,0.7,2.1,12.9,22.0,,1.3,0.3,1.6,.111,,0.6,-1.7,-1.1,0.1,baglema01
19,Marvin Bagley III,C,24,DET,26,478,18.0,.638,.033,.337,10.7,17.3,13.9,8.7,0.5,2.4,12.2,21.0,,0.9,0.2,1.0,.104,,0.4,-1.6,-1.2,0.1,baglema01
19,Marvin Bagley III,C,24,WAS,8,192,21.3,.643,.039,.571,18.0,19.2,18.6,8.7,1.2,1.3,14.2,24.6,,0.4,0.1,0.5,.131,,1.0,-1.9,-0.8,0.1,baglema01
