,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,3,2019,Steven Adams,5,C,5,OKC,5,80.0,3,80.0,2,6.0,4,10.1,7,0.0,10,0.0,10,10.1,3,0.596,1,0.595,1,1.8,7,3.7,3,0.5,10,4.9,1,4.6,4,9.5,1,0.9,10,1.6,9,1.5,2,1.0,2,1.7,5,2.6,3,13.9,5,18.5,3,0.591,3,0.002,10,0.361,2,14.7,1,14.8,5,14.7,2,6.6,10,2.0,3,2.4,2,12.6,4,16.4,9,5.1,2,4.0,1,9.1,1,0.163,2,0.7,5,0.4,4,1.1,4,2.1,3,3.5,10,0.645,1,0.294,1,0.058,8,0.0,10,19.0,1,0.0,10,0.0029999999999998916,10,0.25,1
1,1,7,2019,LaMarcus Aldridge,5,C,5,SAS,5,81.0,2,81.0,1,8.4,2,16.3,2,0.5,10,0.238,10,15.8,1,0.528,4,0.522,6,4.3,2,5.1,2,0.847,3,3.1,1,6.1,2,9.2,2,1.3,8,2.4,6,0.5,10,1.3,1,1.8,5,2.2,6,21.3,2,22.9,2,0.576,4,0.032,10,0.312,3,10.3,1,19.8,3,15.1,2,11.6,7,0.8,10,3.4,2,8.8,9,26.9,2,6.4,1,2.9,3,9.3,1,0.167,2,2.4,2,-0.6,7,1.8,3,2.6,3,9.7,9,0.27,5,0.246,2,0.252,1,0.201,1,4.2,4,9.5,8,0.030999999999999917,10,0.09,10
2,2,10,2019,Jarrett Allen,5,C,5,BRK,5,80.0,3,80.0,2,4.2,8,7.1,9,0.6,10,0.133,10,6.5,7,0.629,1,0.595,1,2.5,4,3.5,4,0.709,9,2.4,2,6.0,2,8.4,2,1.1,9,1.4,9,0.5,10,1.5,1,1.3,8,2.3,5,10.9,8,18.5,3,0.632,1,0.079,9,0.489,1,9.6,2,24.0,2,16.8,2,7.9,9,1.0,9,4.5,1,13.0,4,15.9,9,4.4,2,3.3,2,7.6,2,0.175,2,0.2,6,1.4,2,1.6,3,1.9,4,4.3,10,0.678,1,0.22,3,0.021,10,0.002,10,34.300000000000004,1,86.7,1,0.07899999999999996,9,0.25,1
3,3,12,2019,Al-Farouq Aminu,5,PF,5,POR,5,81.0,2,81.0,1,3.2,10,7.3,9,3.5,7,0.343,6,3.9,9,0.514,5,0.514,6,1.9,6,2.1,7,0.867,2,1.4,3,6.1,2,7.5,3,1.4,7,1.3,9,0.8,7,0.4,6,0.9,10,1.8,9,9.4,9,13.2,7,0.568,5,0.472,3,0.292,4,5.3,3,22.6,2,14.2,2,6.0,10,1.4,6,1.2,5,9.7,8,13.7,10,3.0,4,2.8,3,5.8,4,0.121,4,0.1,6,0.6,4,0.7,5,1.5,4,13.9,6,0.351,3,0.105,8,0.029,10,0.044,8,7.9,2,31.1,2,0.471,3,0.18,5
4,4,14,2019,Kyle Anderson,5,SF,5,MEM,5,43.0,10,40.0,8,3.5,9,6.4,10,0.8,9,0.265,10,5.6,8,0.583,1,0.56,2,0.9,9,1.5,9,0.578,10,1.1,4,4.7,4,5.8,4,2.3,3,3.0,5,1.3,3,0.9,2,1.3,8,2.6,3,8.0,10,12.8,8,0.569,5,0.123,9,0.232,6,4.1,3,18.1,3,11.0,4,15.0,5,2.1,2,2.7,2,16.0,2,12.6,10,0.8,8,1.8,6,2.7,8,0.1,6,-1.6,9,2.4,1,0.8,5,0.9,6,7.9,9,0.464,2,0.261,2,0.051,8,0.101,5,1.0999999999999999,8,61.8,1,0.12299999999999989,9,0.15,5
5,5,19,2019,Giannis Antetokounmpo,5,PF,5,MIL,5,72.0,6,72.0,4,10.0,1,17.3,2,2.8,8,0.256,10,14.5,1,0.641,1,0.599,1,6.9,1,9.5,1,0.729,8,2.2,2,10.3,1,12.5,1,1.6,6,5.9,2,1.3,3,1.5,1,3.7,1,3.2,1,27.7,1,30.9,1,0.644,1,0.163,9,0.55,1,7.3,2,30.0,1,19.3,1,30.3,2,1.8,4,3.9,1,14.8,2,32.3,1,8.9,1,5.5,1,14.4,1,0.292,1,6.3,1,4.1,1,10.4,1,7.4,1,7.7,9,0.573,1,0.152,6,0.051,8,0.063,7,24.6,1,4.3999999999999995,10,0.16100000000000003,9,0.2,3
6,6,24,2019,Ryan Arcidiacono,5,PG,5,CHI,5,81.0,2,32.0,8,2.3,10,5.2,10,2.7,8,0.373,3,2.5,10,0.527,4,0.544,4,1.1,9,1.3,9,0.873,1,0.3,10,2.4,9,2.7,9,4.1,1,3.3,5,0.8,7,0.0,10,0.8,10,2.1,7,6.7,10,11.6,9,0.588,3,0.519,3,0.244,6,1.5,9,10.8,8,6.1,8,18.9,4,1.6,5,0.2,10,12.0,5,11.7,10,2.8,4,0.9,9,3.7,6,0.09,7,-2.0,10,0.1,5,-1.9,9,0.1,9,16.8,2,0.172,9,0.165,5,0.091,5,0.053,7,0.0,10,22.6,4,0.5190000000000001,3,0.2,3
7,7,25,2019,Trevor Ariza,5,SF,5,TOT,5,69.0,6,69.0,4,4.3,7,10.7,6,6.3,2,0.334,7,4.4,9,0.493,7,0.498,8,1.9,6,2.4,7,0.793,6,0.7,7,4.7,4,5.4,4,2.5,2,3.7,4,1.3,3,0.3,8,1.5,6,1.9,8,12.5,7,12.1,9,0.534,8,0.59,2,0.223,7,2.3,7,15.2,5,8.6,5,14.8,5,1.8,4,0.7,8,11.6,5,16.6,9,1.3,7,1.2,8,2.5,8,0.052,9,-0.7,8,-0.6,7,-1.3,8,0.4,8,16.6,3,0.262,5,0.091,9,0.023,10,0.034,9,4.2,4,29.7,2,0.59,2,0.2,3
8,8,28,2019,D.J. Augustin,5,PG,5,ORL,5,81.0,2,81.0,1,3.9,9,8.4,9,3.8,6,0.421,1,4.5,9,0.511,5,0.566,2,2.2,5,2.6,6,0.866,2,0.5,9,2.0,10,2.5,10,3.3,1,5.3,2,0.6,9,0.0,10,1.6,6,1.4,10,11.7,7,15.7,5,0.616,1,0.459,3,0.309,3,1.9,9,7.8,10,4.8,10,26.9,2,1.1,8,0.1,10,14.3,3,17.2,8,5.0,2,1.9,5,6.9,3,0.146,3,1.1,4,-0.7,8,0.5,5,1.4,5,15.2,4,0.267,5,0.137,6,0.075,7,0.061,7,0.1,10,17.4,5,0.45999999999999996,3,0.2,3
9,9,29,2019,Deandre Ayton,5,C,5,PHO,5,71.0,6,70.0,4,7.2,2,12.3,4,0.1,10,0.0,10,12.2,1,0.588,1,0.585,1,2.0,6,2.7,6,0.746,7,3.1,1,7.1,1,10.3,1,1.0,10,1.8,8,0.9,6,0.9,2,1.8,5,2.9,2,16.3,4,20.5,2,0.608,2,0.005,10,0.217,7,11.1,1,26.1,1,18.5,1,9.6,8,1.3,7,2.6,2,11.7,5,21.2,6,4.1,3,1.7,6,5.8,4,0.128,4,1.3,4,-1.1,9,0.2,6,1.2,5,6.7,10,0.478,1,0.217,3,0.154,2,0.146,2,16.3,1,25.0,4,0.0050000000000000044,10,0.2,3
