,level_0,index,Player,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST,AST ranked,AST/TOV,AST/TOV ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,1,Steven Adams,C,5,MEM,5,76,2,75,2,2.8,10,5.1,10,0.0,10,0.0,10,5.0,7,0.55,4,0.55,4,1.4,8,2.6,5,0.54,10,4.6,1,5.4,3,10.0,1,3.4,5,2.3,3,0.9,5,0.8,3,1.5,6,2.0,7,6.9,10,17.6,3,0.56,8,0.0,10,0.52,1,17.9,1,22.0,2,19.9,1,16.1,5,1.6,4,2.7,2,19.6,1,12.0,10,3.8,3,3.0,2,6.8,2,0.16,3,1.0,4,1.0,3,2.0,3,2.0,3,2.9,10,69.3,1,26.0,2,4.2,9,0.3,10,0.20000000000000284,10,26.4,1
1,1,2,Bam Adebayo,C,5,MIA,5,56,8,56,6,7.3,2,13.0,4,0.1,10,0.0,10,12.9,1,0.56,4,0.56,4,4.6,1,6.1,1,0.75,8,2.4,2,7.6,1,10.1,1,3.4,5,1.3,9,1.4,2,0.8,3,2.6,3,3.1,1,19.1,3,21.8,2,0.61,1,0.01,10,0.47,1,8.7,1,26.1,1,17.5,2,17.5,5,2.2,2,2.6,2,14.4,3,25.0,3,3.6,3,3.5,1,7.2,2,0.19,3,1.7,3,2.1,1,3.8,2,2.7,2,7.0,10,39.5,2,30.9,1,20.0,1,8.799999999999999,4,0.7999999999999972,10,14.1,6
2,2,8,Grayson Allen,SG,5,MIL,5,66,6,61,5,3.9,8,8.6,8,5.9,3,0.41,1,2.7,10,0.53,4,0.59,4,1.0,9,1.1,9,0.86,3,0.5,8,2.9,8,3.4,8,1.5,9,2.1,4,0.7,8,0.3,8,0.7,10,1.5,9,11.1,8,12.7,8,0.61,1,0.68,1,0.13,8,1.9,8,10.9,8,6.5,8,7.6,9,1.2,8,1.0,7,6.7,10,15.2,9,2.8,4,1.4,8,4.2,5,0.11,3,0.6,5,-0.2,6,0.4,6,1.1,6,19.2,2,15.8,7,9.700000000000001,9,4.7,8,1.4000000000000001,9,68.4,1,24.7,1
3,3,9,Jarrett Allen,C,5,CLE,5,56,8,56,6,6.6,3,9.7,7,0.2,10,0.1,10,9.6,3,0.69,1,0.68,1,2.9,3,4.2,3,0.71,8,3.4,1,7.3,1,10.8,1,1.6,9,0.9,10,0.8,7,1.3,1,1.7,5,1.7,9,16.1,5,23.0,1,0.7,1,0.02,10,0.43,1,12.0,1,24.5,1,18.4,1,8.2,9,1.2,8,3.7,1,12.7,4,18.1,7,5.4,1,3.0,2,8.5,1,0.22,1,2.7,2,1.2,2,3.9,2,2.7,2,3.8,10,62.4,1,29.4,2,4.6,8,1.7999999999999998,9,1.8000000000000114,10,23.6,2
4,4,15,Giannis Antetokounmpo,PF,5,MIL,5,67,5,67,4,10.3,1,18.6,1,3.6,8,0.29,10,15.0,1,0.62,1,0.58,4,8.3,1,11.4,1,0.72,8,2.0,2,9.6,1,11.6,1,5.8,2,1.8,6,1.1,3,1.4,1,3.3,1,3.2,1,29.9,1,32.1,1,0.63,1,0.19,9,0.62,1,6.6,2,30.4,1,18.7,1,31.7,1,1.6,4,4.0,1,12.2,4,34.9,1,9.2,1,3.7,1,12.9,1,0.28,1,7.6,1,3.5,1,11.2,1,7.4,1,10.0,9,40.6,1,19.8,5,12.0,4,8.200000000000001,4,19.39999999999999,9,11.2,8
5,5,17,Carmelo Anthony,PF,5,LAL,5,69,5,3,10,4.6,7,10.5,7,5.8,4,0.4,3,4.7,8,0.5,7,0.5,7,1.9,6,2.3,6,0.8,5,0.9,5,3.3,7,4.2,7,1.0,10,1.1,10,0.7,8,0.8,3,0.9,9,2.4,4,13.3,6,14.8,6,0.6,5,0.6,2,0.2,6,3.7,4,13.5,5,8.6,5,5.6,10,1.3,7,2.6,2,6.9,10,20.4,6,2.2,6,1.4,8,3.6,6,0.1,6,0.4,6,-0.8,8,-0.5,7,0.7,7,19.1,2,10.100000000000001,9,6.6000000000000005,10,15.2,2,13.100000000000001,2,55.0,2,17.7,3
6,6,18,Cole Anthony,PG,5,ORL,5,65,7,65,4,5.5,5,14.0,4,6.0,3,0.3,8,8.0,4,0.4,10,0.5,7,3.3,3,3.9,3,0.8,5,0.5,8,4.9,3,5.4,4,5.7,2,2.2,4,0.7,8,0.3,8,2.6,3,2.6,3,16.3,4,13.5,7,0.5,9,0.4,6,0.3,3,1.6,9,16.2,4,8.9,5,28.9,2,1.1,8,0.8,8,14.2,3,25.1,3,-0.1,10,1.7,6,1.6,9,0.0,10,-0.6,8,-0.6,7,-1.2,8,0.4,8,16.2,4,14.7,8,21.4,4,9.5,5,11.5,2,42.900000000000006,5,12.1,7
7,7,19,OG Anunoby,SF,5,TOR,5,48,9,48,7,6.4,4,14.5,3,6.6,3,0.4,3,7.9,4,0.5,7,0.5,7,1.9,6,2.5,6,0.8,5,1.5,3,4.0,5,5.5,4,2.6,6,1.5,8,1.5,1,0.5,4,1.7,5,2.7,2,17.1,4,14.8,6,0.6,5,0.5,3,0.2,6,4.4,3,12.6,6,8.3,5,11.0,7,2.1,2,1.4,5,9.7,8,20.5,6,1.8,6,1.9,6,3.7,6,0.1,6,0.4,6,0.1,5,0.5,5,1.1,6,15.1,5,26.3,4,12.5,9,8.0,6,7.7,5,45.5,4,14.4,6
8,8,25,Deni Avdija,SF,5,WAS,5,82,1,8,10,3.0,10,7.1,9,3.2,8,0.3,8,3.9,9,0.5,7,0.5,7,1.3,8,1.7,8,0.8,5,0.6,7,4.5,4,5.2,5,2.0,8,1.8,6,0.7,8,0.5,4,1.1,8,2.3,5,8.4,10,11.6,9,0.5,9,0.4,6,0.2,6,3.0,5,20.5,2,11.9,3,11.8,7,1.5,5,1.9,4,12.0,4,16.3,8,0.6,9,1.8,6,2.4,8,0.1,6,-2.1,10,0.4,4,-1.7,9,0.1,9,14.4,6,22.1,5,26.1,2,4.0,9,3.1,8,44.699999999999996,5,15.4,5
9,9,27,Deandre Ayton,C,5,PHO,5,58,8,58,6,7.6,2,12.0,5,0.3,10,0.4,3,11.7,2,0.6,2,0.6,2,1.8,6,2.4,6,0.8,5,2.6,1,7.7,1,10.2,1,1.4,9,0.9,10,0.7,8,0.7,3,1.6,6,2.4,4,17.2,4,21.9,1,0.7,1,0.0,10,0.2,6,9.6,1,27.1,1,18.6,1,7.6,9,1.1,8,2.1,3,10.7,6,21.4,5,4.1,2,3.1,2,7.3,2,0.2,2,2.2,3,0.6,4,2.8,2,2.1,3,7.0,10,33.300000000000004,2,39.7,1,18.4,1,5.8999999999999995,6,2.6999999999999886,10,14.6,6
