,index,Player,Pos,Team,Team ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,AST/TOV,AST/TOV ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0.0,Steven Adams,C,MEM,5,42.0,7,3.7,8,6.3,10,0.0,10,0.0,10,6.2,6,0.6,2,0.6,2,1.1,9,3.1,5,0.36,10,5.1,1,6.5,1,11.5,1,2.3,7,0.9,6,1.1,1,1.2,9,1.9,4,2.3,5,8.6,9,17.5,3,0.56,8,0.0,10,0.49,1,20.1,1,25.3,1,22.7,1,11.2,7,1.5,5,3.7,1,19.8,1,14.6,9,1.3,7,2.1,4,3.4,6,0.14,3,-0.3,7,0.9,3,0.6,6,0.7,7,2.6,10,69.6,1,28.1,2,1.9,10,0.0,10,0.4000000000000057,10,27.0,1
1,1.0,Bam Adebayo,C,MIA,5,75.0,1,8.0,2,14.9,3,0.2,10,0.08,10,14.7,1,0.55,5,0.54,6,4.3,2,5.4,2,0.81,5,2.5,1,6.7,1,9.2,1,3.2,6,1.2,2,0.8,2,1.3,9,2.5,2,2.8,2,20.4,3,20.1,2,0.59,5,0.01,10,0.36,2,8.0,2,23.6,2,15.5,2,15.9,5,1.7,3,2.4,2,12.7,5,25.2,3,3.6,3,3.8,1,7.4,2,0.14,3,0.8,5,0.8,3,1.5,4,2.3,2,7.3,9,29.5,3,37.9,1,26.0,1,4.7,6,1.8999999999999915,10,14.2,6
2,2.0,Grayson Allen,SG,MIL,5,70.0,2,3.4,9,7.7,8,5.1,5,0.4,2,2.7,10,0.52,7,0.57,4,1.6,7,1.8,8,0.9,1,0.8,7,2.4,9,3.3,9,2.3,7,0.9,6,0.2,9,2.3,4,1.0,9,1.6,9,10.4,8,12.3,8,0.61,3,0.66,1,0.23,7,3.4,5,9.0,9,6.3,9,10.9,8,1.5,5,0.6,9,10.5,7,14.6,9,2.8,4,2.2,4,5.1,4,0.12,5,-0.6,8,0.7,3,0.1,7,1.0,6,18.7,1,18.0,7,10.4,10,5.4,8,0.5,10,65.7,1,23.6,2
3,3.0,Jarrett Allen,C,CLE,5,68.0,3,5.9,4,9.2,7,0.1,10,0.1,10,9.1,3,0.65,1,0.64,1,2.4,5,3.3,4,0.73,8,3.3,1,6.5,1,9.8,1,1.7,8,0.8,7,1.2,1,1.2,9,1.4,7,2.3,5,14.3,5,19.9,2,0.67,1,0.02,10,0.35,3,11.7,1,23.6,2,17.7,2,7.5,9,1.2,8,3.5,1,11.4,6,16.4,8,5.5,1,4.0,1,9.5,1,0.2,1,1.3,4,1.0,2,2.4,3,2.4,2,4.4,10,56.99999999999999,1,30.4,2,7.5,6,2.7,7,2.4000000000000057,10,21.2,2
4,4.0,Kyle Anderson,PF,MIN,5,46.0,7,3.7,8,7.2,9,1.5,9,0.41,1,5.7,7,0.54,5,0.55,6,1.4,8,2.0,7,0.74,8,1.0,5,4.4,4,5.3,4,4.9,3,1.1,3,0.9,2,3.3,1,1.5,6,2.1,7,9.4,9,14.8,6,0.58,6,0.21,9,0.28,5,3.8,5,16.9,4,10.5,4,22.6,3,1.9,2,2.8,2,15.7,2,14.4,9,2.5,5,2.6,2,5.1,4,0.12,5,0.2,6,2.3,1,2.5,3,2.2,2,9.9,9,24.6,4,42.6,1,8.7,5,2.8000000000000003,7,21.299999999999997,9,13.8,6
5,5.0,Giannis Antetokounmpo,PF,MIL,5,63.0,4,11.2,1,20.3,1,2.7,8,0.28,9,17.6,1,0.6,2,0.57,4,7.9,1,12.3,1,0.64,10,2.2,2,9.6,1,11.8,1,5.7,2,0.8,7,0.8,2,1.5,8,3.9,1,3.1,1,31.1,1,29.0,1,0.6,4,0.13,9,0.6,1,7.3,2,30.0,1,19.1,1,33.2,1,1.2,8,2.1,2,13.2,4,38.8,1,4.9,2,3.7,1,8.6,1,0.2,1,5.8,1,2.7,1,8.5,1,5.4,1,8.1,9,48.0,1,21.2,4,9.1,5,8.4,3,13.299999999999997,9,14.7,6
6,6.0,Cole Anthony,PG,ORL,5,4.0,10,4.6,7,10.2,6,3.4,7,0.36,5,6.7,6,0.5,8,0.52,8,2.5,5,2.8,6,0.89,2,0.8,7,4.0,5,4.8,5,3.9,4,0.6,9,0.5,4,2.6,2,1.5,6,2.6,3,13.0,6,16.0,5,0.57,7,0.34,7,0.28,5,3.4,5,17.6,4,10.5,4,22.9,3,1.2,8,1.9,3,11.7,6,21.5,5,2.1,5,1.7,6,3.7,6,0.12,5,0.7,5,0.5,4,1.3,4,1.3,5,14.7,6,14.299999999999999,9,24.9,3,15.1,2,12.0,1,33.7,7,8.2,10
7,7.0,OG Anunoby,SF,TOR,5,67.0,3,6.3,4,13.2,4,5.5,4,0.39,3,7.7,5,0.54,5,0.56,5,2.1,6,2.5,6,0.84,4,1.4,4,3.5,6,5.0,5,2.0,8,1.9,1,0.7,3,1.0,10,2.0,4,3.0,1,16.8,4,14.6,7,0.59,5,0.42,5,0.19,8,4.2,5,12.1,7,7.9,6,8.0,9,2.7,1,2.0,3,12.1,5,19.5,6,1.8,6,2.9,2,4.7,4,0.09,7,-0.3,7,0.7,3,0.4,6,1.5,4,13.5,7,29.299999999999997,3,17.299999999999997,7,6.2,7,5.6000000000000005,5,41.6,5,13.8,6
8,8.0,Deni Avdija,SF,WAS,5,40.0,8,3.3,9,7.6,9,3.1,8,0.3,9,4.6,8,0.53,6,0.5,9,1.6,7,2.2,7,0.74,8,1.0,5,5.4,3,6.4,3,2.8,6,0.9,6,0.4,6,1.7,7,1.6,6,2.8,2,9.2,9,11.2,9,0.54,9,0.4,6,0.28,5,4.2,5,21.9,2,13.4,3,13.9,6,1.6,4,1.2,6,15.9,2,16.7,8,0.0,10,2.3,3,2.3,8,0.05,9,-2.8,10,0.5,4,-2.3,9,-0.1,9,13.3,7,27.800000000000004,4,26.3,3,3.8,9,2.1,8,39.99999999999999,6,14.7,6
9,9.0,Deandre Ayton,C,PHO,5,67.0,3,7.8,2,13.2,4,0.4,10,0.29,9,12.9,1,0.6,2,0.59,2,2.3,5,3.0,5,0.76,7,2.6,1,7.4,1,10.0,1,1.7,8,0.6,9,0.8,2,0.9,10,1.8,4,2.8,2,18.0,3,19.9,2,0.62,3,0.03,10,0.22,7,9.2,2,27.5,1,18.1,1,9.2,8,0.9,10,2.3,2,11.0,6,22.9,4,3.3,3,3.0,2,6.2,3,0.15,2,0.9,5,0.0,6,0.9,5,1.5,4,7.7,9,31.3,3,35.199999999999996,1,22.3,1,8.5,3,2.700000000000003,10,12.6,7
10,10.0,LaMelo Ball,PG,CHO,5,36.0,8,8.2,2,20.0,1,10.6,1,0.38,3,9.4,3,0.45,10,0.51,9,2.8,4,3.4,4,0.84,4,1.2,4,5.3,3,6.4,3,8.4,1,1.3,2,0.3,7,2.3,4,3.6,1,3.3,1,23.3,2,17.9,3,0.54,9,0.53,3,0.17,8,3.5,5,16.2,4,9.7,5,38.7,1,1.7,3,0.8,8,14.3,3,30.0,1,0.6,9,1.2,8,1.8,9,0.07,8,3.2,2,-0.8,8,2.4,3,1.4,4,17.7,2,16.900000000000002,7,16.2,8,8.5,6,5.3,5,53.1,3,17.1,4
11,11.0,Paolo Banchero,PF,ORL,5,72.0,2,6.7,3,15.6,3,4.0,7,0.3,9,11.6,2,0.47,10,0.46,10,5.5,1,7.4,1,0.74,8,1.2,4,5.7,3,6.9,3,3.7,4,0.8,7,0.5,4,1.3,9,2.8,2,2.2,6,20.0,3,14.9,6,0.53,9,0.25,8,0.48,1,3.9,5,19.3,3,11.6,3,17.2,5,1.2,8,1.5,4,12.8,5,27.5,2,-0.3,10,2.6,2,2.4,8,0.05,9,-0.7,8,-0.7,8,-1.5,9,0.3,8,12.4,7,24.2,5,25.3,3,12.4,3,12.7,1,25.400000000000006,8,6.1,10
12,12.0,Desmond Bane,SG,MEM,5,58.0,5,7.8,2,16.2,2,7.0,2,0.41,1,9.2,3,0.53,6,0.57,4,3.1,4,3.5,4,0.88,2,0.7,7,4.3,4,5.0,5,4.4,4,1.0,4,0.4,6,2.0,5,2.2,3,2.6,3,21.5,2,19.1,3,0.61,3,0.43,5,0.22,7,2.5,7,14.3,5,8.4,6,20.8,4,1.4,6,1.1,6,10.9,6,26.1,3,3.5,3,2.3,3,5.8,3,0.15,2,3.3,2,0.1,5,3.5,2,2.5,2,14.8,5,22.900000000000002,5,21.0,4,7.1,7,5.6000000000000005,5,43.39999999999999,5,13.6,6
13,13.0,Harrison Barnes,PF,SAC,5,82.0,1,4.6,7,9.6,7,4.3,6,0.37,4,5.3,7,0.55,5,0.56,5,4.3,2,5.0,2,0.85,3,1.1,5,3.4,6,4.5,6,1.6,9,0.7,8,0.1,10,1.6,7,1.0,9,1.3,10,15.0,5,14.1,7,0.63,2,0.45,4,0.52,1,3.8,5,11.9,7,7.9,6,6.3,10,1.0,9,0.3,10,8.1,9,17.1,7,5.1,1,1.4,7,6.5,2,0.12,5,0.5,6,-1.5,10,-1.0,8,0.7,7,13.6,7,25.5,4,23.0,3,5.3,8,0.8,9,45.400000000000006,4,15.9,5
14,14.0,Scottie Barnes,SF,TOR,5,76.0,1,6.0,4,13.2,4,2.9,8,0.28,9,10.3,2,0.5,8,0.49,9,2.5,5,3.2,5,0.77,7,2.3,2,4.3,4,6.6,3,4.8,3,1.1,3,0.8,2,2.4,3,2.0,4,2.2,6,15.3,5,15.5,5,0.52,10,0.22,9,0.24,7,7.1,2,15.2,4,10.8,4,20.0,4,1.5,5,2.2,2,12.0,5,20.3,6,2.3,5,2.7,2,5.0,4,0.09,7,0.5,6,-0.1,6,0.4,6,1.6,4,10.7,8,27.500000000000004,4,31.7,2,9.6,5,8.200000000000001,3,23.0,9,9.5,9
15,15.0,RJ Barrett,SG,NYK,5,73.0,2,7.0,3,16.1,2,5.3,4,0.31,9,10.8,2,0.5,8,0.48,10,4.0,2,5.4,2,0.74,8,0.8,7,4.2,4,5.0,5,2.8,6,0.4,10,0.2,9,1.3,9,2.2,3,2.5,4,19.6,3,12.9,8,0.53,9,0.33,7,0.33,3,2.7,7,13.7,5,8.2,6,12.4,7,0.6,10,0.6,9,10.8,7,26.2,3,0.5,9,1.8,5,2.2,8,0.04,9,-1.2,8,-1.9,10,-3.1,10,-0.7,10,11.5,8,29.9,3,28.7,2,6.0,7,2.3,8,33.10000000000001,7,13.1,7
16,16.0,Bradley Beal,SG,WAS,5,50.0,6,8.9,2,17.6,2,4.4,6,0.36,5,13.2,1,0.55,5,0.55,6,3.8,3,4.6,3,0.84,4,0.8,7,3.1,8,3.9,8,5.4,2,0.9,6,0.7,3,1.9,6,2.9,2,2.1,7,23.2,2,19.7,3,0.59,5,0.25,8,0.26,6,2.8,7,9.9,9,6.5,8,26.6,2,1.3,7,1.7,4,12.9,5,29.2,2,2.2,5,1.2,8,3.4,6,0.1,6,2.9,2,-1.2,9,1.8,3,1.6,4,12.9,7,19.7,6,25.6,3,16.400000000000002,2,13.3,1,25.0,8,4.8,10
17,17.0,Malik Beasley,SG,TOT,5,27.0,9,4.6,7,11.6,5,8.1,1,0.36,5,3.4,9,0.48,9,0.52,8,0.6,10,0.8,10,0.77,7,0.4,9,3.1,8,3.5,8,1.5,9,0.8,7,0.1,10,1.4,9,1.1,8,1.3,10,12.7,6,10.9,9,0.53,9,0.7,1,0.07,10,1.8,9,12.5,6,7.3,7,8.4,9,1.5,5,0.4,10,8.5,9,21.1,5,-0.2,10,1.6,6,1.4,9,0.03,10,-0.9,8,-1.0,9,-2.0,9,0.0,9,21.0,1,3.5999999999999996,10,13.100000000000001,9,7.3,6,5.800000000000001,5,70.19999999999999,1,25.3,1
18,18.0,Malik Beasley,SG,TOT,5,27.0,9,4.6,7,11.6,5,8.1,1,0.36,5,3.4,9,0.48,9,0.52,8,0.6,10,0.8,10,0.77,7,0.4,9,3.1,8,3.5,8,1.5,9,0.8,7,0.1,10,1.4,9,1.1,8,1.3,10,12.7,6,10.9,9,0.53,9,0.7,1,0.07,10,1.8,9,12.5,6,7.3,7,8.4,9,1.5,5,0.4,10,8.5,9,21.1,5,-0.2,10,1.6,6,1.4,9,0.03,10,-0.9,8,-1.0,9,-2.0,9,0.0,9,21.1,1,2.8000000000000003,10,13.5,8,7.000000000000001,7,6.3,4,70.4,1,25.4,1
19,19.0,Malik Beasley,SG,UTA,5,13.0,10,4.8,6,12.2,5,8.6,1,0.36,5,3.6,9,0.48,9,0.52,8,0.7,10,0.8,10,0.84,4,0.5,8,3.1,8,3.6,8,1.7,8,0.8,7,0.1,10,1.5,8,1.1,8,1.4,10,13.4,6,11.5,9,0.54,9,0.7,1,0.07,10,2.0,8,12.3,6,7.2,7,9.0,8,1.4,6,0.5,9,8.0,9,21.2,5,0.3,9,1.0,8,1.2,10,0.04,9,-0.4,7,-1.2,9,-1.6,9,0.2,9,21.0,1,3.5999999999999996,10,13.100000000000001,9,7.3,6,5.800000000000001,5,70.19999999999999,1,25.3,1
20,20.0,Malik Beasley,SG,UTA,5,13.0,10,4.8,6,12.2,5,8.6,1,0.36,5,3.6,9,0.48,9,0.52,8,0.7,10,0.8,10,0.84,4,0.5,8,3.1,8,3.6,8,1.7,8,0.8,7,0.1,10,1.5,8,1.1,8,1.4,10,13.4,6,11.5,9,0.54,9,0.7,1,0.07,10,2.0,8,12.3,6,7.2,7,9.0,8,1.4,6,0.5,9,8.0,9,21.2,5,0.3,9,1.0,8,1.2,10,0.04,9,-0.4,7,-1.2,9,-1.6,9,0.2,9,21.1,1,2.8000000000000003,10,13.5,8,7.000000000000001,7,6.3,4,70.4,1,25.4,1
21,21.0,Patrick Beverley,SG-PG,TOT,5,67.0,3,2.1,10,5.4,10,3.6,7,0.34,7,1.8,10,0.53,6,0.51,9,0.7,10,1.0,10,0.72,9,0.7,7,3.0,8,3.7,8,2.9,6,0.9,6,0.6,3,3.2,1,0.9,10,2.8,2,6.2,10,8.9,10,0.53,9,0.66,1,0.18,8,2.7,7,12.0,7,7.5,7,13.3,6,1.7,3,2.0,3,13.4,4,10.6,10,0.8,8,2.1,4,3.0,7,0.08,7,-2.9,10,1.7,1,-1.2,8,0.3,8,18.7,1,12.2,9,18.099999999999998,7,2.1999999999999997,9,1.0999999999999999,8,66.4,1,24.0,2
22,22.0,Patrick Beverley,SG-PG,TOT,5,67.0,3,2.1,10,5.4,10,3.6,7,0.34,7,1.8,10,0.53,6,0.51,9,0.7,10,1.0,10,0.72,9,0.7,7,3.0,8,3.7,8,2.9,6,0.9,6,0.6,3,3.2,1,0.9,10,2.8,2,6.2,10,8.9,10,0.53,9,0.66,1,0.18,8,2.7,7,12.0,7,7.5,7,13.3,6,1.7,3,2.0,3,13.4,4,10.6,10,0.8,8,2.1,4,3.0,7,0.08,7,-2.9,10,1.7,1,-1.2,8,0.3,8,18.6,1,10.4,10,19.900000000000002,6,2.9000000000000004,9,1.2,8,65.6,1,23.7,2
23,23.0,Patrick Beverley,SG,LAL,5,45.0,7,2.2,10,5.4,10,3.5,7,0.35,6,1.8,10,0.51,7,0.52,8,0.9,9,1.1,9,0.78,6,0.5,8,2.6,9,3.1,9,2.6,7,0.9,6,0.6,3,2.9,2,0.9,10,2.8,2,6.4,10,8.3,10,0.55,8,0.66,1,0.21,8,2.2,8,9.9,9,6.2,9,12.1,7,1.6,4,1.7,4,13.8,4,10.6,10,0.5,9,1.3,7,1.8,9,0.07,8,-3.2,10,1.4,2,-1.8,9,0.1,9,18.7,1,12.2,9,18.099999999999998,7,2.1999999999999997,9,1.0999999999999999,8,66.4,1,24.0,2
24,24.0,Patrick Beverley,SG,LAL,5,45.0,7,2.2,10,5.4,10,3.5,7,0.35,6,1.8,10,0.51,7,0.52,8,0.9,9,1.1,9,0.78,6,0.5,8,2.6,9,3.1,9,2.6,7,0.9,6,0.6,3,2.9,2,0.9,10,2.8,2,6.4,10,8.3,10,0.55,8,0.66,1,0.21,8,2.2,8,9.9,9,6.2,9,12.1,7,1.6,4,1.7,4,13.8,4,10.6,10,0.5,9,1.3,7,1.8,9,0.07,8,-3.2,10,1.4,2,-1.8,9,0.1,9,18.6,1,10.4,10,19.900000000000002,6,2.9000000000000004,9,1.2,8,65.6,1,23.7,2
25,25.0,Saddiq Bey,SF,TOT,5,37.0,8,4.6,7,10.9,6,5.4,4,0.36,5,5.4,7,0.48,9,0.51,9,2.7,4,3.1,5,0.86,3,1.3,4,3.4,6,4.7,6,1.5,9,0.9,6,0.2,9,1.7,7,0.9,10,1.6,9,13.8,6,14.6,7,0.56,8,0.5,3,0.28,5,5.0,4,14.0,5,9.4,5,8.1,9,1.6,4,0.5,9,7.0,10,20.2,6,2.6,5,1.2,8,3.9,5,0.09,7,0.9,5,-1.2,9,-0.3,7,0.9,6,15.6,4,21.8,5,17.7,7,5.0,8,4.9,5,50.6,3,16.7,4
26,26.0,Saddiq Bey,SF,TOT,5,37.0,8,4.6,7,10.9,6,5.4,4,0.36,5,5.4,7,0.48,9,0.51,9,2.7,4,3.1,5,0.86,3,1.3,4,3.4,6,4.7,6,1.5,9,0.9,6,0.2,9,1.7,7,0.9,10,1.6,9,13.8,6,14.6,7,0.56,8,0.5,3,0.28,5,5.0,4,14.0,5,9.4,5,8.1,9,1.6,4,0.5,9,7.0,10,20.2,6,2.6,5,1.2,8,3.9,5,0.09,7,0.9,5,-1.2,9,-0.3,7,0.9,6,15.9,4,20.3,6,20.1,5,6.1,7,5.1,5,48.39999999999999,4,15.6,5
