,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,std_areas_FGA,std_areas_FGA ranked
0,0,3,2024,Bam Adebayo,5,C,5,MIA,5,69.0,5,69.0,3,7.4,3,14.4,4,0.6,10,0.359,6,13.9,1,0.522,7,0.523,8,4.2,2,5.5,2,0.757,8,2.2,2,8.3,1,10.5,1,1.7,7,4.0,4,1.1,3,0.9,2,2.3,3,2.3,4,19.3,4,19.7,2,0.571,7,0.039,10,0.383,1,8.0,2,30.3,1,19.0,1,19.0,5,1.7,3,2.7,2,11.9,5,25.2,3,2.3,5,4.2,1,6.5,2,0.132,3,0.7,5,1.6,1,2.3,3,2.6,3,8.5,9,0.241,4,0.371,1,0.28,1,0.069,4,14.399999999999999,2,15.4,7,6.06,7
1,1,7,2024,Santi Aldama,5,PF,5,MEM,5,61.0,8,35.0,8,4.0,8,9.3,7,5.0,5,0.349,7,4.3,9,0.534,6,0.528,7,0.9,9,1.4,9,0.621,10,1.2,4,4.6,4,5.8,4,2.1,5,2.3,7,0.7,8,0.9,2,1.1,9,1.5,9,10.7,9,13.2,7,0.539,9,0.535,2,0.153,9,5.1,4,21.5,3,12.9,3,13.3,7,1.3,7,3.1,2,10.2,7,18.1,7,0.2,9,2.0,5,2.2,8,0.066,8,-0.7,8,0.4,4,-0.3,6,0.7,6,15.8,4,0.211,6,0.188,6,0.049,8,0.016,9,6.7,3,29.599999999999998,3,11.79,3
2,2,9,2024,Grayson Allen,5,SG,5,PHO,5,73.0,4,72.0,3,4.5,8,9.0,8,5.9,3,0.456,1,3.1,10,0.569,3,0.645,1,1.7,7,2.0,7,0.874,2,0.6,8,3.3,7,3.9,7,2.3,4,3.0,6,0.9,5,0.6,4,1.3,7,2.1,6,13.4,7,13.6,7,0.675,1,0.659,1,0.217,6,2.5,8,11.1,9,7.1,8,12.2,7,1.4,6,1.6,5,11.3,6,14.5,9,4.3,2,2.2,4,6.5,2,0.127,3,1.0,4,0.1,4,1.1,4,1.9,3,18.3,2,0.193,6,0.124,9,0.023,10,0.002,10,3.2,6,28.999999999999996,4,11.57,4
3,3,10,2024,Jarrett Allen,5,C,5,CLE,5,75.0,2,75.0,1,6.7,4,10.6,6,0.1,10,0.0,10,10.6,3,0.63,1,0.625,1,3.1,3,4.1,3,0.752,8,3.2,1,7.4,1,10.5,1,1.8,6,2.7,7,0.7,8,1.1,2,1.5,6,1.9,7,16.4,5,21.6,2,0.658,1,0.008,10,0.383,1,12.6,1,27.8,1,20.3,1,13.2,7,1.1,9,3.1,2,11.1,6,19.6,6,6.2,1,3.8,1,10.0,1,0.202,1,2.0,3,0.9,3,2.9,2,3.0,2,4.2,10,0.551,1,0.342,1,0.079,6,0.02,8,24.2,1,33.300000000000004,3,13.22,3
4,4,14,2024,Giannis Antetokounmpo,5,PF,5,MIL,5,73.0,4,73.0,2,11.5,1,18.8,1,1.7,9,0.274,10,17.1,1,0.645,1,0.624,1,7.0,1,10.7,1,0.657,10,2.7,1,8.8,1,11.5,1,1.9,6,6.5,1,1.2,2,1.1,2,3.4,1,2.9,2,30.4,1,29.8,1,0.649,1,0.091,10,0.571,1,9.4,2,29.6,1,19.8,1,32.5,1,1.7,3,2.6,2,12.7,4,33.3,1,8.9,1,3.7,1,12.7,1,0.237,1,6.7,1,2.4,1,9.1,1,7.2,1,6.7,10,0.519,1,0.251,3,0.068,7,0.072,4,19.3,1,2.4,10,0.88,10
5,5,17,2024,OG Anunoby,5,SF,5,TOT,5,47.0,10,47.0,7,5.7,5,11.6,6,5.4,4,0.373,5,6.1,6,0.595,2,0.578,3,1.4,8,1.8,8,0.767,7,0.9,5,3.3,7,4.2,6,1.4,9,2.2,8,1.3,1,0.7,3,1.6,5,2.4,4,14.8,6,13.0,8,0.597,4,0.469,4,0.158,9,3.3,6,11.8,8,7.5,8,9.1,8,2.0,2,1.9,4,11.3,6,17.7,7,1.0,8,1.3,8,2.4,8,0.071,8,-0.9,8,0.5,3,-0.4,7,0.6,7,14.2,6,0.301,3,0.125,9,0.064,7,0.04,6,14.299999999999999,2,48.199999999999996,1,19.2,1
6,6,21,2024,Deni Avdija,5,SF,5,WAS,5,73.0,4,73.0,2,5.4,6,10.6,6,3.1,8,0.381,4,7.5,5,0.559,4,0.562,5,2.7,4,3.6,4,0.741,8,1.2,4,6.0,2,7.2,3,1.8,6,3.8,5,0.8,7,0.5,6,2.1,3,2.5,3,14.6,6,15.1,6,0.599,4,0.291,8,0.338,2,4.4,5,23.9,2,13.9,3,17.8,5,1.3,7,1.3,6,14.8,2,20.3,6,1.4,7,1.6,6,3.0,7,0.065,8,-0.6,7,-0.1,5,-0.7,7,0.7,6,10.8,9,0.337,2,0.299,2,0.044,8,0.03,7,5.8999999999999995,4,28.299999999999997,4,11.2,4
7,7,22,2024,Deandre Ayton,5,C,5,POR,5,53.0,9,53.0,6,7.8,3,13.5,4,0.1,10,0.143,10,13.4,1,0.581,2,0.577,3,1.2,8,1.5,8,0.821,5,3.3,1,7.9,1,11.2,1,0.9,10,1.7,9,1.0,4,0.8,3,1.8,4,2.0,7,16.8,4,19.1,3,0.593,5,0.01,10,0.109,10,11.3,1,31.1,1,20.6,1,8.8,9,1.5,5,2.2,3,11.4,5,21.0,5,1.6,6,2.2,4,3.9,5,0.107,5,0.7,5,-0.3,6,0.4,5,1.0,6,8.6,9,0.266,3,0.31,2,0.262,1,0.152,1,12.2,2,42.9,2,17.1,2
8,8,33,2024,Paolo Banchero,5,PF,5,ORL,5,78.0,1,78.0,1,8.0,2,17.5,2,4.3,6,0.339,8,13.1,1,0.498,8,0.5,9,5.0,1,6.9,1,0.723,9,1.0,5,5.8,2,6.8,3,1.7,7,5.3,2,0.9,5,0.6,4,3.1,1,1.9,7,22.5,2,17.4,4,0.548,9,0.249,9,0.397,1,3.5,6,20.8,3,12.1,3,25.2,3,1.3,7,1.6,5,13.1,3,29.8,2,0.7,9,4.0,1,4.7,4,0.083,7,1.3,4,0.0,5,1.3,4,2.3,3,12.6,8,0.225,5,0.234,4,0.185,1,0.108,2,6.2,4,7.1,9,2.8,9
9,9,34,2024,Desmond Bane,5,SG,5,MEM,5,42.0,10,42.0,8,8.6,2,18.5,1,8.6,1,0.381,4,9.9,3,0.536,6,0.552,6,3.3,3,3.8,3,0.87,2,0.9,5,3.5,6,4.4,6,2.0,5,5.5,2,1.0,4,0.5,6,2.7,2,2.9,2,23.7,2,18.4,3,0.589,5,0.464,4,0.207,7,2.8,7,12.8,7,7.6,7,29.4,2,1.5,5,1.4,6,11.7,5,28.8,2,1.5,7,1.3,8,2.8,7,0.094,6,3.0,2,-0.3,6,2.8,3,1.7,4,15.9,4,0.216,6,0.168,7,0.061,8,0.091,3,0.8999999999999999,9,14.399999999999999,7,5.7,7
