,index,Player,Pos,Offensive Profile,Defensive Profile,Team,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,AST/TOV,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA 3P,std_areas_FGA
0,0.0,Steven Adams,C,Slasher,Perimeter Lockdown Defender,MEM,75.0,2.8,5.1,0.0,0.0,5.0,0.55,0.55,1.4,2.6,0.54,4.6,5.4,10.0,3.4,0.9,0.8,2.3,1.5,2.0,6.9,17.6,0.56,0.0,0.52,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,3.8,3.0,6.8,0.16,1.0,1.0,2.0,2.0,2.9,69.3,26.0,4.2,0.3,0.20000000000000284,26.4
1,1.0,Bam Adebayo,C,Paint Threat,Paint Protector/Rim Defender,MIA,56.0,7.3,13.0,0.1,0.0,12.9,0.56,0.56,4.6,6.1,0.75,2.4,7.6,10.1,3.4,1.4,0.8,1.3,2.6,3.1,19.1,21.8,0.61,0.01,0.47,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,3.6,3.5,7.2,0.19,1.7,2.1,3.8,2.7,7.0,39.5,30.9,20.0,8.799999999999999,0.7999999999999972,14.1
2,2.0,Grayson Allen,SG,Pure Shooter/Stretcher,No significant defensive role,MIL,61.0,3.9,8.6,5.9,0.41,2.7,0.53,0.59,1.0,1.1,0.86,0.5,2.9,3.4,1.5,0.7,0.3,2.1,0.7,1.5,11.1,12.7,0.61,0.68,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,2.8,1.4,4.2,0.11,0.6,-0.2,0.4,1.1,19.2,15.8,9.700000000000001,4.7,1.4000000000000001,68.4,24.7
3,3.0,Jarrett Allen,C,Paint Threat,Switchable Defender,CLE,56.0,6.6,9.7,0.2,0.1,9.6,0.69,0.68,2.9,4.2,0.71,3.4,7.3,10.8,1.6,0.8,1.3,0.9,1.7,1.7,16.1,23.0,0.7,0.02,0.43,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,5.4,3.0,8.5,0.22,2.7,1.2,3.9,2.7,3.8,62.4,29.4,4.6,1.7999999999999998,1.8000000000000114,23.6
4,4.0,Giannis Antetokounmpo,PF,Creator/Facilitator,Perimeter Lockdown Defender,MIL,67.0,10.3,18.6,3.6,0.29,15.0,0.62,0.58,8.3,11.4,0.72,2.0,9.6,11.6,5.8,1.1,1.4,1.8,3.3,3.2,29.9,32.1,0.63,0.19,0.62,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,0.28,7.6,3.5,11.2,7.4,10.0,40.6,19.8,12.0,8.200000000000001,19.39999999999999,11.2
5,5.0,Carmelo Anthony,PF,No significant offensive role,No significant defensive role,LAL,3.0,4.6,10.5,5.8,0.38,4.7,0.52,0.54,1.9,2.3,0.83,0.9,3.3,4.2,1.0,0.7,0.8,1.1,0.9,2.4,13.3,14.8,0.58,0.55,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,2.2,1.4,3.6,0.1,0.4,-0.8,-0.5,0.7,19.1,10.100000000000001,6.6000000000000005,15.2,13.100000000000001,55.0,17.7
6,6.0,Cole Anthony,PG,Creator/Facilitator,No significant defensive role,ORL,65.0,5.5,14.0,6.0,0.34,8.0,0.43,0.46,3.3,3.9,0.85,0.5,4.9,5.4,5.7,0.7,0.3,2.2,2.6,2.6,16.3,13.5,0.52,0.43,0.28,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,-0.1,1.7,1.6,0.04,-0.6,-0.6,-1.2,0.4,16.2,14.7,21.4,9.5,11.5,42.900000000000006,12.1
7,7.0,OG Anunoby,SF,Versatile Scorer,No significant defensive role,TOR,48.0,6.4,14.5,6.6,0.36,7.9,0.51,0.53,1.9,2.5,0.75,1.5,4.0,5.5,2.6,1.5,0.5,1.5,1.7,2.7,17.1,14.8,0.55,0.46,0.17,4.4,12.6,8.3,11.0,2.1,1.4,9.7,20.5,1.8,1.9,3.7,0.1,0.4,0.1,0.5,1.1,15.1,26.3,12.5,8.0,7.7,45.5,14.4
8,8.0,Deni Avdija,SF,No significant offensive role,Perimeter Lockdown Defender,WAS,8.0,3.0,7.1,3.2,0.32,3.9,0.52,0.5,1.3,1.7,0.76,0.6,4.5,5.2,2.0,0.7,0.5,1.8,1.1,2.3,8.4,11.6,0.54,0.45,0.24,3.0,20.5,11.9,11.8,1.5,1.9,12.0,16.3,0.6,1.8,2.4,0.06,-2.1,0.4,-1.7,0.1,14.4,22.1,26.1,4.0,3.1,44.699999999999996,15.4
9,9.0,Deandre Ayton,C,Paint Threat,Paint Protector/Rim Defender,PHO,58.0,7.6,12.0,0.3,0.37,11.7,0.64,0.64,1.8,2.4,0.75,2.6,7.7,10.2,1.4,0.7,0.7,0.9,1.6,2.4,17.2,21.9,0.66,0.03,0.2,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,4.1,3.1,7.3,0.2,2.2,0.6,2.8,2.1,7.0,33.300000000000004,39.7,18.4,5.8999999999999995,2.6999999999999886,14.6
