,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,#,%3PA,Att.,%FGA 3P,std_areas_FGA
0,0,1,2022,Slasher,Perimeter Defender,Steven Adams,C,MEM,76.0,75.0,2.8,5.1,0.0,0.0,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,2.3,3.4,0.9,0.8,1.5,2.0,6.9,17.6,0.56,0.003,0.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,3.8,3.0,6.8,0.163,1.0,1.0,2.0,2.0,2.9,0.693,0.26,0.042,0.003,14.299999999999999,4800.0,0.0,100.0,0.0020000000000000018,0.3
1,1,2,2022,Slasher,Paint Protector,Bam Adebayo,C,MIA,56.0,56.0,7.3,13.0,0.1,0.0,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,1.3,3.4,1.4,0.8,2.6,3.1,19.1,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,3.6,3.5,7.2,0.188,1.7,2.1,3.8,2.7,7.0,0.395,0.309,0.2,0.088,18.099999999999998,11900.0,0.0,200.0,0.008000000000000118,0.1
2,2,8,2022,Pure Shooter/Stretcher,No significant defensive role,Grayson Allen,SG,MIL,66.0,61.0,3.9,8.6,5.9,0.409,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,2.1,1.5,0.7,0.3,0.7,1.5,11.1,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,2.8,1.4,4.2,0.11,0.6,-0.2,0.4,1.1,19.2,0.158,0.097,0.047,0.014,2.3,1000.0,26.0,0.0,0.6839999999999999,0.2
3,3,9,2022,Paint Threat,Switchable Defender,Jarrett Allen,C,CLE,56.0,56.0,6.6,9.7,0.2,0.1,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,0.9,1.6,0.8,1.3,1.7,1.7,16.1,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,5.4,3.0,8.5,0.224,2.7,1.2,3.9,2.7,3.8,0.624,0.294,0.046,0.018,34.300000000000004,16400.0,60.0,0.0,0.018000000000000016,0.2
4,4,15,2022,Creator/Facilitator,Paint Protector,Giannis Antetokounmpo,PF,MIL,67.0,67.0,10.3,18.6,3.6,0.293,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,1.8,5.8,1.1,1.4,3.3,3.2,29.9,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,10.0,0.406,0.198,0.12,0.082,15.2,17900.0,2.5,200.0,0.19399999999999995,0.1
5,5,17,2022,No significant offensive role,No significant defensive role,Carmelo Anthony,PF,LAL,69.0,3.0,4.6,10.5,5.8,0.375,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1.1,1.0,0.7,0.8,0.9,2.4,13.3,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,2.2,1.4,3.6,0.097,0.4,-0.8,-0.5,0.7,19.1,0.101,0.066,0.152,0.131,1.9,1100.0,17.1,0.0,0.55,0.2
6,6,18,2022,Creator/Facilitator,No significant defensive role,Cole Anthony,PG,ORL,65.0,65.0,5.5,14.0,6.0,0.338,8.0,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,2.2,5.7,0.7,0.3,2.6,2.6,16.3,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,-0.1,1.7,1.6,0.038,-0.6,-0.6,-1.2,0.4,16.2,0.147,0.214,0.095,0.115,2.5,1400.0,8.7,200.0,0.42900000000000005,0.1
7,7,19,2022,Versatile Scorer,No significant defensive role,OG Anunoby,SF,TOR,48.0,48.0,6.4,14.5,6.6,0.363,7.9,0.511,0.526,1.9,2.5,0.754,1.5,4.0,5.5,1.5,2.6,1.5,0.5,1.7,2.7,17.1,14.8,0.549,0.455,0.169,4.4,12.6,8.3,11.0,2.1,1.4,9.7,20.5,1.8,1.9,3.7,0.104,0.4,0.1,0.5,1.1,15.1,0.263,0.125,0.08,0.077,10.9,6200.0,29.299999999999997,0.0,0.45499999999999996,0.1
8,8,25,2022,Slasher,Rebounding Specialist,Deni Avdija,SF,WAS,82.0,8.0,3.0,7.1,3.2,0.317,3.9,0.525,0.503,1.3,1.7,0.757,0.6,4.5,5.2,1.8,2.0,0.7,0.5,1.1,2.3,8.4,11.6,0.536,0.447,0.235,3.0,20.5,11.9,11.8,1.5,1.9,12.0,16.3,0.6,1.8,2.4,0.058,-2.1,0.4,-1.7,0.1,14.4,0.221,0.261,0.04,0.031,2.1999999999999997,700.0,24.7,100.0,0.44699999999999995,0.2
9,9,28,2022,Slasher,Paint Protector,Deandre Ayton,C,PHO,58.0,58.0,7.6,12.0,0.3,0.368,11.7,0.642,0.639,1.8,2.4,0.746,2.6,7.7,10.2,0.9,1.4,0.7,0.7,1.6,2.4,17.2,21.9,0.656,0.027,0.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,4.1,3.1,7.3,0.203,2.2,0.6,2.8,2.1,7.0,0.333,0.397,0.184,0.059,14.499999999999998,9500.0,0.0,0.0,0.027000000000000135,0.1
