,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,std_areas_FGA
0,0,3,2024,Slasher,Paint Protector,Bam Adebayo,C,MIA,69.0,69.0,7.4,14.4,0.6,0.359,13.9,0.522,0.523,4.2,5.5,0.757,2.2,8.3,10.5,1.7,4.0,1.1,0.9,2.3,2.3,19.3,19.7,0.571,0.039,0.383,8.0,30.3,19.0,19.0,1.7,2.7,11.9,25.2,2.3,4.2,6.5,0.132,0.7,1.6,2.3,2.6,8.5,0.241,0.371,0.28,0.069,14.399999999999999,15.4,6.06
1,1,7,2024,No significant offensive role,No significant defensive role,Santi Aldama,PF,MEM,61.0,35.0,4.0,9.3,5.0,0.349,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.1,2.3,0.7,0.9,1.1,1.5,10.7,13.2,0.539,0.535,0.153,5.1,21.5,12.9,13.3,1.3,3.1,10.2,18.1,0.2,2.0,2.2,0.066,-0.7,0.4,-0.3,0.7,15.8,0.211,0.188,0.049,0.016,6.7,29.599999999999998,11.79
2,2,9,2024,Pure Shooter/Stretcher,No significant defensive role,Grayson Allen,SG,PHO,73.0,72.0,4.5,9.0,5.9,0.456,3.1,0.569,0.645,1.7,2.0,0.874,0.6,3.3,3.9,2.3,3.0,0.9,0.6,1.3,2.1,13.4,13.6,0.675,0.659,0.217,2.5,11.1,7.1,12.2,1.4,1.6,11.3,14.5,4.3,2.2,6.5,0.127,1.0,0.1,1.1,1.9,18.3,0.193,0.124,0.023,0.002,3.2,28.999999999999996,11.57
3,3,10,2024,Paint Threat,Paint Protector,Jarrett Allen,C,CLE,75.0,75.0,6.7,10.6,0.1,0.0,10.6,0.63,0.625,3.1,4.1,0.752,3.2,7.4,10.5,1.8,2.7,0.7,1.1,1.5,1.9,16.4,21.6,0.658,0.008,0.383,12.6,27.8,20.3,13.2,1.1,3.1,11.1,19.6,6.2,3.8,10.0,0.202,2.0,0.9,2.9,3.0,4.2,0.551,0.342,0.079,0.02,24.2,33.300000000000004,13.22
4,4,14,2024,Creator/Facilitator,Paint Protector,Giannis Antetokounmpo,PF,MIL,73.0,73.0,11.5,18.8,1.7,0.274,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,1.9,6.5,1.2,1.1,3.4,2.9,30.4,29.8,0.649,0.091,0.571,9.4,29.6,19.8,32.5,1.7,2.6,12.7,33.3,8.9,3.7,12.7,0.237,6.7,2.4,9.1,7.2,6.7,0.519,0.251,0.068,0.072,19.3,2.4,0.88
5,5,17,2024,No significant offensive role,Perimeter Defender,OG Anunoby,SF,TOT,47.0,47.0,5.7,11.6,5.4,0.373,6.1,0.595,0.578,1.4,1.8,0.767,0.9,3.3,4.2,1.4,2.2,1.3,0.7,1.6,2.4,14.8,13.0,0.597,0.469,0.158,3.3,11.8,7.5,9.1,2.0,1.9,11.3,17.7,1.0,1.3,2.4,0.071,-0.9,0.5,-0.4,0.6,14.2,0.301,0.125,0.064,0.04,14.299999999999999,48.199999999999996,19.2
6,6,21,2024,Slasher,Rebounding Specialist,Deni Avdija,SF,WAS,73.0,73.0,5.4,10.6,3.1,0.381,7.5,0.559,0.562,2.7,3.6,0.741,1.2,6.0,7.2,1.8,3.8,0.8,0.5,2.1,2.5,14.6,15.1,0.599,0.291,0.338,4.4,23.9,13.9,17.8,1.3,1.3,14.8,20.3,1.4,1.6,3.0,0.065,-0.6,-0.1,-0.7,0.7,10.8,0.337,0.299,0.044,0.03,5.8999999999999995,28.299999999999997,11.2
7,7,22,2024,No significant offensive role,Rebounding Specialist,Deandre Ayton,C,POR,53.0,53.0,7.8,13.5,0.1,0.143,13.4,0.581,0.577,1.2,1.5,0.821,3.3,7.9,11.2,0.9,1.7,1.0,0.8,1.8,2.0,16.8,19.1,0.593,0.01,0.109,11.3,31.1,20.6,8.8,1.5,2.2,11.4,21.0,1.6,2.2,3.9,0.107,0.7,-0.3,0.4,1.0,8.6,0.266,0.31,0.262,0.152,12.2,42.9,17.1
8,8,33,2024,Creator/Facilitator,No significant defensive role,Paolo Banchero,PF,ORL,78.0,78.0,8.0,17.5,4.3,0.339,13.1,0.498,0.5,5.0,6.9,0.723,1.0,5.8,6.8,1.7,5.3,0.9,0.6,3.1,1.9,22.5,17.4,0.548,0.249,0.397,3.5,20.8,12.1,25.2,1.3,1.6,13.1,29.8,0.7,4.0,4.7,0.083,1.3,0.0,1.3,2.3,12.6,0.225,0.234,0.185,0.108,6.2,7.1,2.8
9,9,34,2024,Creator/Facilitator,No significant defensive role,Desmond Bane,SG,MEM,42.0,42.0,8.6,18.5,8.6,0.381,9.9,0.536,0.552,3.3,3.8,0.87,0.9,3.5,4.4,2.0,5.5,1.0,0.5,2.7,2.9,23.7,18.4,0.589,0.464,0.207,2.8,12.8,7.6,29.4,1.5,1.4,11.7,28.8,1.5,1.3,2.8,0.094,3.0,-0.3,2.8,1.7,15.9,0.216,0.168,0.061,0.091,0.8999999999999999,14.399999999999999,5.7
10,10,39,2024,Pure Shooter/Stretcher,No significant defensive role,Harrison Barnes,PF,SAC,79.0,79.0,4.2,8.8,4.7,0.388,4.2,0.567,0.575,1.8,2.3,0.797,0.8,2.2,2.9,1.6,1.1,0.6,0.1,0.7,1.2,12.0,11.6,0.609,0.531,0.26,3.2,9.3,6.2,5.2,1.1,0.4,6.8,15.8,2.6,1.5,4.1,0.086,-0.8,-1.3,-2.1,-0.1,16.0,0.182,0.216,0.053,0.019,3.5999999999999996,42.3,16.9
11,11,40,2024,Creator/Facilitator,Perimeter Defender,Scottie Barnes,SG,TOR,60.0,60.0,7.5,15.7,4.9,0.341,10.8,0.536,0.528,3.3,4.2,0.781,2.4,5.9,8.2,2.2,6.1,1.3,1.5,2.8,2.0,19.9,19.4,0.566,0.314,0.266,8.0,20.8,14.3,26.1,1.8,3.7,13.6,25.1,2.1,1.9,3.9,0.09,2.9,0.9,3.7,3.0,12.4,0.271,0.268,0.079,0.069,8.4,14.899999999999999,5.9
12,12,41,2024,Slasher,No significant defensive role,RJ Barrett,SG,TOT,57.0,57.0,7.4,15.1,4.3,0.362,10.8,0.542,0.542,3.5,4.9,0.712,0.9,4.4,5.3,1.5,3.3,0.5,0.4,2.2,2.2,19.9,16.1,0.576,0.285,0.326,3.5,17.2,10.2,16.6,0.9,1.1,11.1,26.6,1.3,1.2,2.5,0.065,0.5,-1.5,-1.0,0.5,10.3,0.358,0.278,0.058,0.02,5.0,35.0,13.9
13,13,49,2024,Pure Shooter/Stretcher,Perimeter Defender,Nicolas Batum,PF,TOT,58.0,38.0,2.0,4.3,3.1,0.4,1.2,0.627,0.607,0.3,0.4,0.714,1.2,2.9,4.1,3.0,2.1,0.8,0.7,0.7,1.8,5.4,10.4,0.615,0.729,0.085,5.4,13.9,9.6,10.5,1.6,2.3,13.5,8.7,1.6,1.5,3.1,0.1,-1.2,0.7,-0.4,0.6,19.2,0.19,0.036,0.028,0.016,3.5999999999999996,53.900000000000006,21.5
14,14,55,2024,No significant offensive role,No significant defensive role,Bradley Beal,SG,PHO,51.0,51.0,6.9,13.7,4.4,0.416,9.3,0.547,0.572,2.1,2.6,0.809,1.0,3.3,4.3,2.0,5.0,0.9,0.5,2.5,2.4,17.8,15.6,0.598,0.322,0.187,3.7,11.3,7.7,22.5,1.4,1.3,14.3,22.8,1.7,1.5,3.2,0.092,0.4,-0.7,-0.3,0.7,13.6,0.234,0.188,0.13,0.126,3.3000000000000003,31.4,12.5
15,15,56,2024,Pure Shooter/Stretcher,No significant defensive role,Malik Beasley,SG,MIL,77.0,76.0,4.0,9.2,6.9,0.415,2.2,0.52,0.597,0.3,0.5,0.714,0.5,3.2,3.7,2.0,1.4,0.8,0.1,0.7,2.0,11.3,10.4,0.602,0.755,0.05,2.2,12.6,7.5,6.1,1.2,0.3,6.7,14.7,1.8,1.6,3.4,0.071,-1.0,-0.8,-1.8,0.1,20.8,0.074,0.098,0.038,0.035,0.8,40.2,16.1
16,16,66,2024,No significant offensive role,No significant defensive role,Saddiq Bey,SF,ATL,63.0,51.0,4.6,11.1,5.7,0.316,5.4,0.522,0.497,2.7,3.2,0.837,2.7,3.9,6.5,1.7,1.5,0.8,0.2,0.9,1.4,13.7,13.1,0.549,0.514,0.291,9.2,14.5,11.7,6.0,1.2,0.5,6.4,17.2,2.6,0.7,3.4,0.078,0.2,-2.0,-1.8,0.1,14.5,0.287,0.155,0.033,0.011,6.6000000000000005,45.300000000000004,18.1
17,17,75,2024,Versatile Scorer,No significant defensive role,Bogdan Bogdanović,SG,ATL,77.0,31.0,6.0,14.0,8.2,0.374,5.8,0.504,0.537,1.9,2.0,0.917,0.7,2.8,3.5,2.3,3.2,1.2,0.3,1.4,2.3,16.9,14.7,0.567,0.585,0.145,2.5,11.2,6.7,15.0,2.0,1.0,8.8,22.5,2.5,1.2,3.6,0.075,0.8,-0.7,0.2,1.3,18.4,0.124,0.145,0.095,0.051,0.8,20.3,8.1
18,18,76,2024,No significant offensive role,No significant defensive role,Bojan Bogdanović,PF-SF,TOT,54.0,27.0,5.5,12.1,5.9,0.396,6.2,0.511,0.551,2.1,2.7,0.786,0.4,2.3,2.7,1.0,1.8,0.5,0.1,1.8,1.8,15.4,12.5,0.582,0.488,0.223,1.8,10.7,6.2,10.5,1.0,0.3,12.2,24.7,0.1,0.7,0.8,0.029,-0.8,-2.5,-3.3,-0.5,16.7,0.115,0.181,0.143,0.072,0.6,27.700000000000003,11.0
19,19,83,2024,Creator/Facilitator,No significant defensive role,Devin Booker,PG,PHO,66.0,66.0,9.5,19.3,6.2,0.362,13.2,0.553,0.55,5.9,6.7,0.887,0.8,3.7,4.5,2.7,7.0,0.9,0.4,2.6,3.0,27.2,22.0,0.611,0.318,0.346,2.9,11.9,7.6,31.5,1.3,1.0,10.5,30.3,6.5,2.0,8.5,0.173,4.1,-1.0,3.1,3.0,15.3,0.142,0.158,0.231,0.151,1.3,7.3999999999999995,2.9
20,20,93,2024,No significant offensive role,No significant defensive role,Mikal Bridges,SF,BRK,80.0,80.0,7.0,16.0,7.3,0.373,8.7,0.491,0.522,3.2,4.0,0.814,0.9,3.8,4.6,1.8,3.7,1.0,0.4,2.1,1.4,19.9,15.0,0.562,0.455,0.248,2.7,13.1,7.7,16.3,1.5,0.9,10.4,24.6,1.7,2.2,3.9,0.067,0.8,-1.0,-0.3,1.2,15.9,0.166,0.164,0.159,0.056,1.6,33.7,13.4
21,21,94,2024,Versatile Scorer,No significant defensive role,Miles Bridges,SF,CHO,68.0,66.0,8.2,17.7,6.6,0.35,11.1,0.528,0.527,2.6,3.1,0.825,1.0,6.3,7.4,1.7,3.4,1.0,0.5,2.0,1.7,21.3,15.5,0.556,0.372,0.175,3.2,20.7,11.7,14.5,1.3,1.2,9.5,24.9,0.4,1.6,2.0,0.037,0.2,-1.3,-1.1,0.6,13.6,0.284,0.206,0.058,0.08,5.800000000000001,19.6,7.8
22,22,97,2024,Creator/Facilitator,No significant defensive role,Malcolm Brogdon,PG,POR,39.0,25.0,5.6,12.7,5.1,0.412,7.6,0.458,0.522,2.4,3.0,0.819,0.7,3.1,3.8,3.7,5.5,0.7,0.2,1.5,1.5,15.7,17.0,0.56,0.401,0.234,2.8,13.7,7.9,30.8,1.2,0.6,9.9,23.2,1.8,0.7,2.5,0.106,2.7,-0.7,2.0,1.1,15.4,0.206,0.157,0.117,0.119,0.2,12.1,4.8
23,23,99,2024,No significant offensive role,No significant defensive role,Dillon Brooks,SF,HOU,70.0,70.0,4.6,10.6,5.1,0.367,5.5,0.492,0.52,1.8,2.1,0.844,0.7,2.7,3.4,1.4,1.7,0.9,0.1,1.2,3.3,12.8,9.6,0.555,0.484,0.198,2.5,10.0,6.2,7.6,1.4,0.4,9.6,17.7,0.5,2.1,2.6,0.058,-3.1,-0.2,-3.3,-0.7,15.7,0.176,0.223,0.082,0.035,2.1999999999999997,15.6,6.2
24,24,100,2024,Slasher,No significant defensive role,Bruce Brown,SG-PG,TOT,65.0,44.0,4.2,8.8,2.5,0.317,6.3,0.534,0.518,1.8,2.1,0.827,0.8,3.5,4.3,2.2,2.9,0.9,0.3,1.3,2.2,10.9,11.6,0.558,0.282,0.243,3.5,15.2,9.3,13.2,1.6,0.8,11.6,16.7,0.9,1.1,2.0,0.053,-2.4,-1.0,-3.4,-0.6,11.6,0.245,0.287,0.147,0.039,2.1,39.800000000000004,15.8
25,25,105,2024,Slasher,No significant defensive role,Jaylen Brown,SF,BOS,69.0,69.0,9.0,18.0,5.9,0.356,12.1,0.571,0.558,3.0,4.3,0.704,1.2,4.4,5.6,1.5,3.6,1.2,0.5,2.4,2.6,23.1,18.7,0.581,0.326,0.239,4.3,14.2,9.4,16.9,1.8,1.3,10.6,29.0,2.3,3.4,5.7,0.119,1.0,-0.1,0.9,1.7,13.1,0.245,0.239,0.12,0.07,7.3999999999999995,20.5,8.1
26,26,112,2024,Creator/Facilitator,No significant defensive role,Jalen Brunson,PG,NYK,74.0,74.0,10.1,21.2,6.8,0.399,14.4,0.516,0.542,5.4,6.4,0.846,0.6,3.1,3.6,2.8,6.7,0.9,0.2,2.4,1.9,28.4,23.0,0.591,0.321,0.301,1.9,10.6,6.2,33.3,1.4,0.5,9.2,32.5,8.1,2.3,10.3,0.19,6.0,-0.4,5.6,5.1,14.3,0.126,0.275,0.189,0.089,0.2,13.5,5.3
27,27,121,2024,Slasher,Perimeter Defender,Jimmy Butler,PF,MIA,58.0,58.0,6.6,13.4,2.5,0.406,10.9,0.516,0.533,6.7,7.8,0.863,1.7,3.6,5.3,2.9,4.9,1.4,0.3,1.7,1.2,21.0,21.8,0.624,0.184,0.58,6.2,13.2,9.7,22.9,2.0,0.8,9.4,24.4,5.8,2.5,8.4,0.202,3.8,0.8,4.6,3.3,9.8,0.265,0.354,0.14,0.057,5.800000000000001,47.599999999999994,19.0
28,28,123,2024,Pure Shooter/Stretcher,Perimeter Defender,Kentavious Caldwell-Pope,SG,DEN,74.0,74.0,3.6,7.8,4.1,0.407,3.7,0.513,0.564,1.4,1.5,0.902,0.4,2.0,2.4,2.4,2.4,1.3,0.6,1.0,2.0,10.1,10.7,0.601,0.525,0.195,1.7,7.6,4.7,9.5,2.1,1.5,10.5,13.1,2.1,2.4,4.4,0.091,-2.1,0.8,-1.4,0.4,17.2,0.176,0.087,0.085,0.127,1.9,37.4,14.9
29,29,124,2024,Slasher,No significant defensive role,Toumani Camara,PF,POR,70.0,49.0,2.8,6.3,2.5,0.337,3.8,0.523,0.516,1.1,1.4,0.758,2.0,2.9,4.9,1.0,1.2,0.9,0.5,1.2,2.5,7.5,10.6,0.547,0.393,0.226,8.9,15.0,11.8,7.1,1.9,1.7,14.9,14.0,0.4,1.6,1.9,0.054,-3.0,-0.1,-3.1,-0.5,11.6,0.352,0.224,0.023,0.009,6.800000000000001,44.800000000000004,17.9
30,30,125,2024,Slasher,Rebounding Specialist,Clint Capela,C,ATL,72.0,72.0,4.8,8.5,0.0,0.0,8.5,0.57,0.569,1.8,2.8,0.632,4.6,6.0,10.6,1.2,1.2,0.6,1.5,1.0,2.3,11.4,20.6,0.588,0.002,0.334,20.3,28.6,24.3,6.7,1.1,5.1,9.4,17.5,4.0,1.9,6.0,0.154,1.0,-1.1,-0.1,0.9,2.5,0.693,0.29,0.011,0.003,25.4,0.0,0.3
31,31,127,2024,Slasher,Switchable Defender,Wendell Carter Jr.,C,ORL,53.0,47.0,4.1,7.9,3.2,0.373,4.7,0.62,0.595,1.8,2.5,0.694,2.1,5.1,7.2,1.4,1.8,0.7,0.5,1.3,2.2,11.2,15.8,0.619,0.403,0.32,9.8,24.4,17.0,10.1,1.3,1.9,12.5,17.3,1.9,2.2,4.1,0.143,0.4,0.4,0.8,1.0,12.6,0.329,0.191,0.06,0.017,18.099999999999998,41.4,16.5
32,32,129,2024,Pure Shooter/Stretcher,Perimeter Defender,Alex Caruso,SG,CHI,69.0,55.0,3.6,7.6,4.7,0.406,2.9,0.559,0.59,1.0,1.3,0.761,0.9,2.9,3.8,2.4,3.3,1.6,1.0,1.4,2.6,10.0,14.3,0.61,0.617,0.175,3.6,12.6,8.0,15.9,2.9,3.7,14.6,15.0,1.9,2.5,4.4,0.109,0.1,2.2,2.3,2.1,17.1,0.218,0.112,0.023,0.03,3.2,35.699999999999996,14.2
33,33,137,2024,Versatile Scorer,No significant defensive role,Jordan Clarkson,SG,UTA,55.0,19.0,6.1,14.8,5.6,0.294,9.2,0.485,0.469,3.2,3.7,0.881,0.9,2.5,3.4,1.9,5.0,0.6,0.1,2.7,1.5,17.1,12.6,0.521,0.379,0.246,3.5,9.6,6.6,24.7,1.0,0.3,13.9,26.3,-0.1,0.2,0.0,0.001,-1.4,-3.2,-4.5,-1.1,14.9,0.113,0.339,0.125,0.044,1.7000000000000002,13.3,5.3
34,34,138,2024,Paint Threat,Paint Protector,Nic Claxton,C,BRK,69.0,69.0,5.2,8.2,0.1,0.2,8.2,0.636,0.633,1.6,2.8,0.557,2.7,7.2,9.9,1.6,2.1,0.7,2.1,1.3,2.4,12.0,18.8,0.633,0.009,0.338,10.3,29.4,19.5,10.4,1.1,6.3,12.0,15.7,3.2,3.3,6.5,0.152,-0.2,1.5,1.4,1.8,3.6,0.599,0.333,0.051,0.009,32.7,80.0,31.9
35,35,142,2024,Slasher,Rebounding Specialist,John Collins,PF,UTA,68.0,66.0,5.8,11.0,3.4,0.371,7.6,0.605,0.59,2.2,2.7,0.795,2.3,6.1,8.5,0.8,1.1,0.6,0.9,1.4,2.8,15.1,17.4,0.621,0.311,0.248,9.8,25.6,17.8,6.1,1.0,2.9,10.6,20.5,2.8,1.4,4.2,0.107,0.5,-1.4,-1.0,0.5,11.0,0.303,0.304,0.043,0.039,15.0,43.1,17.2
36,36,144,2024,Pure Shooter/Stretcher,Perimeter Defender,Mike Conley,PG,MIN,74.0,74.0,3.8,8.5,5.3,0.439,3.1,0.478,0.592,1.3,1.5,0.907,0.5,2.3,2.8,4.5,5.9,1.1,0.2,1.3,1.7,11.3,15.6,0.623,0.629,0.173,2.1,9.6,6.1,28.3,2.0,0.6,12.6,16.1,4.6,3.1,7.7,0.174,1.9,1.4,3.2,2.8,18.8,0.083,0.161,0.089,0.037,0.0,22.8,9.1
37,37,146,2024,Slasher,No significant defensive role,Bilal Coulibaly,SF,WAS,63.0,15.0,3.0,6.9,2.9,0.346,3.9,0.502,0.509,1.5,2.1,0.702,0.9,3.2,4.1,1.2,1.7,0.9,0.8,1.4,2.2,8.4,8.9,0.543,0.428,0.303,3.7,13.8,8.7,8.2,1.6,2.3,15.1,14.3,-0.6,1.0,0.3,0.009,-3.6,-0.5,-4.2,-0.9,13.2,0.313,0.188,0.035,0.037,13.4,48.1,19.2
38,38,154,2024,Creator/Facilitator,No significant defensive role,Cade Cunningham,PG,DET,62.0,62.0,8.5,18.8,5.4,0.355,13.4,0.487,0.5,3.8,4.4,0.869,0.5,3.8,4.3,2.2,7.5,0.9,0.4,3.4,2.5,22.7,17.0,0.546,0.287,0.235,1.9,13.4,7.6,37.5,1.3,0.9,14.1,31.0,0.3,1.2,1.5,0.035,2.0,-1.7,0.3,1.2,13.5,0.177,0.275,0.154,0.106,2.1999999999999997,11.600000000000001,4.6
39,39,158,2024,Versatile Scorer,No significant defensive role,Stephen Curry,PG,GSW,72.0,72.0,8.8,19.4,11.8,0.407,7.7,0.515,0.573,4.1,4.5,0.922,0.5,3.9,4.4,1.8,5.1,0.7,0.4,2.8,1.6,26.4,20.7,0.617,0.605,0.229,1.9,14.2,8.1,24.4,1.1,1.0,11.5,31.6,5.1,1.6,6.8,0.138,6.3,-1.2,5.1,4.2,19.8,0.076,0.174,0.064,0.082,0.0,8.0,3.2
40,40,160,2024,Slasher,Paint Protector,Anthony Davis,C,LAL,74.0,74.0,9.3,16.8,1.4,0.28,15.5,0.578,0.565,5.5,6.7,0.816,3.1,9.5,12.6,1.7,3.5,1.2,2.4,2.1,2.3,24.5,25.6,0.619,0.08,0.398,11.2,30.8,21.5,15.4,1.6,5.8,9.4,26.8,6.3,4.6,10.9,0.199,3.4,1.7,5.1,4.7,8.0,0.363,0.314,0.151,0.091,16.2,15.0,5.9
41,41,164,2024,No significant offensive role,No significant defensive role,DeMar DeRozan,SF,CHI,77.0,77.0,8.1,17.0,2.8,0.321,14.2,0.508,0.504,6.6,7.7,0.854,0.5,3.8,4.3,3.1,5.3,1.1,0.6,1.7,2.1,23.7,19.3,0.582,0.164,0.455,1.6,12.2,6.8,21.9,1.4,1.6,7.7,25.9,6.0,2.2,8.2,0.136,1.9,-0.4,1.5,2.5,13.2,0.183,0.172,0.249,0.232,1.9,31.6,12.6
42,42,173,2024,No significant offensive role,No significant defensive role,Spencer Dinwiddie,PG,TOT,74.0,52.0,3.4,8.6,4.9,0.337,3.6,0.467,0.489,2.2,2.8,0.8,0.4,2.3,2.7,4.0,4.8,0.7,0.3,1.2,1.8,10.6,11.8,0.541,0.575,0.323,1.6,9.8,5.6,22.9,1.2,0.9,10.9,16.8,2.1,1.4,3.4,0.078,-1.3,-0.6,-1.9,0.1,17.4,0.126,0.213,0.063,0.024,1.7000000000000002,24.9,9.9
43,43,176,2024,No significant offensive role,Perimeter Defender,Donte DiVincenzo,SG,NYK,78.0,60.0,5.4,12.3,8.7,0.404,3.6,0.536,0.585,1.1,1.4,0.75,0.8,2.8,3.6,1.9,2.7,1.3,0.4,1.4,2.1,15.4,16.3,0.598,0.707,0.117,3.4,12.1,7.7,14.0,2.4,1.5,9.6,21.8,3.5,2.8,6.3,0.136,2.6,0.9,3.6,3.1,19.3,0.175,0.081,0.026,0.012,2.3,24.9,9.9
