,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Precious Achiuwa,C-PF,24,TOT,48,1020,.491,7.8,,.780,.512,.220,.040,.006,.220,,.554,.685,.310,.231,.500,.268,,.576,.947,,.152,44,,.479,.294,,0,0,achiupr01
2,Bam Adebayo,C,26,MIA,45,1555,.510,8.3,,.984,.250,.347,.299,.087,.016,,.517,.734,.474,.426,.373,.091,,.583,1.000,,.157,93,,.000,,,0,0,adebaba01
3,Ochai Agbaji,SG,23,TOT,54,1045,.416,15.8,,.434,.213,.172,.037,.011,.566,,.543,.684,.413,.400,.333,.318,,.810,.979,,.064,15,,.437,.394,,0,0,agbajoc01
4,Santi Aldama,PF,23,MEM,43,1059,.426,15.8,,.464,.206,.193,.045,.020,.536,,.524,.671,.416,.389,.375,.341,,.691,.945,,.065,23,,.322,.304,,0,0,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,54,1247,.434,18.4,,.343,.129,.132,.050,.031,.657,,.532,.659,.429,.438,.600,.383,,.534,.963,,.019,6,,.455,.442,,1,0,alexani01
6,Grayson Allen,SG,28,PHO,49,1612,.510,17.3,,.384,.220,.143,.019,.002,.616,,.553,.670,.407,.375,.000,.482,,.591,.902,,.029,9,,.286,.548,,0,0,allengr01
7,Jarrett Allen,C,25,CLE,48,1473,.646,4.3,,.990,.562,.314,.096,.017,.010,,.653,.735,.567,.500,.375,.000,,.779,,,.239,97,,.200,.000,,0,0,allenja01
8,Jose Alvarado,PG,25,NOP,37,616,.418,17.4,,.414,.159,.173,.077,.005,.586,,.505,.629,.447,.353,1.000,.357,,.522,.891,,.000,0,,.248,.500,,1,0,alvarjo01
9,Kyle Anderson,PF,30,MIN,54,1180,.467,8.8,,.883,.223,.474,.161,.026,.117,,.500,.574,.477,.432,.714,.219,,.521,1.000,,.022,6,,.594,.316,,1,0,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,53,1852,.611,6.9,,.906,.505,.258,.065,.078,.094,,.648,.820,.461,.369,.385,.255,,.520,.542,,.193,183,,.011,.000,,1,0,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,23,106,.524,4.0,,.952,.810,.095,.000,.048,.048,,.550,.588,.500,,.000,.000,,.727,,,.190,3,,1.000,.000,,0,0,antetth01
12,Cole Anthony,PG,23,ORL,54,1241,.432,14.5,,.655,.160,.241,.168,.087,.345,,.488,.642,.500,.412,.318,.326,,.296,.895,,.014,7,,.189,.303,,0,0,anthoco01
13,OG Anunoby,SF,26,TOT,41,1400,.498,14.2,,.525,.308,.117,.065,.036,.475,,.606,.735,.393,.387,.588,.379,,.704,.953,,.142,60,,.467,.453,,0,0,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,45,.000,26.3,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,arcidry01
15,Deni Avdija,SF,23,WAS,54,1521,.521,10.7,,.710,.341,.297,.044,.028,.290,,.568,.728,.471,.087,.400,.405,,.582,.903,,.061,31,,.307,.489,,2,0,avdijde01
16,Deandre Ayton,C,25,POR,36,1153,.565,7.9,,1.000,.282,.352,.234,.132,.000,,.565,.712,.524,.429,.600,,,.742,,,.122,44,,,,,0,0,aytonde01
17,Udoka Azubuike,C,24,PHO,14,107,.727,2.4,,1.000,.727,.273,.000,.000,.000,,.727,.813,.500,,,,,.563,,,.545,10,,,,,0,0,azubuud01
18,Ibou Badji,C,21,POR,16,187,.647,2.5,,1.000,.706,.235,.059,.000,.000,,.647,.750,.250,1.000,,,,.455,,,.471,6,,,,,0,0,badjiib01
19,Marvin Bagley III,C,24,TOT,37,743,.578,4.8,,.958,.550,.294,.093,.021,.042,,.592,.717,.471,.370,.000,.250,,.634,1.000,,.201,53,,.167,.000,,0,0,baglema01
20,Amari Bailey,PG,19,CHO,3,15,.286,18.9,,.571,.143,.000,.143,.286,.429,,.500,1.000,,.000,.500,.000,,.500,,,.143,1,,.000,,,0,0,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,17,123,.390,15.8,,.463,.293,.098,.024,.049,.537,,.316,.417,.250,.000,.000,.455,,.833,1.000,,.049,2,,.273,.333,,0,0,baldwpa01
