         2232065 function calls (2223159 primitive calls) in 32.806 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   32.807   32.807 /home/lucas/Data Science/Project NBA/vizualisation.py:312(main)
        1    0.001    0.001   31.408   31.408 /home/lucas/Data Science/Project NBA/vizualisation.py:79(init_db)
       38    0.000    0.000   29.702    0.782 /home/lucas/Data Science/Project NBA/etl.py:269(download_csv_from_bucket)
     1290   21.555    0.017   21.850    0.017 {method 'read' of '_io.BufferedReader' objects}
       40    0.001    0.000   21.630    0.541 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/client.py:118(__init__)
       40    0.000    0.000   21.627    0.541 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/client/__init__.py:319(__init__)
       80    0.001    0.000   21.626    0.270 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/_default.py:541(default)
       80    0.000    0.000   21.619    0.270 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/_default.py:651(<lambda>)
       80    0.001    0.000   21.619    0.270 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/_default.py:224(_get_gcloud_sdk_credentials)
       80    0.001    0.000   21.605    0.270 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/_cloud_sdk.py:92(get_project_id)
       80    0.000    0.000   21.604    0.270 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/_cloud_sdk.py:85(_run_subprocess_ignore_stderr)
       80    0.001    0.000   21.601    0.270 /home/lucas/anaconda3/lib/python3.11/subprocess.py:417(check_output)
       80    0.001    0.000   21.600    0.270 /home/lucas/anaconda3/lib/python3.11/subprocess.py:506(run)
       80    0.001    0.000   21.553    0.269 /home/lucas/anaconda3/lib/python3.11/subprocess.py:1165(communicate)
       40    0.001    0.000   10.865    0.272 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/client/__init__.py:153(__init__)
       40    0.000    0.000   10.762    0.269 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/client/__init__.py:251(__init__)
       40    0.000    0.000   10.761    0.269 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/client/__init__.py:284(_determine_default)
       40    0.000    0.000   10.761    0.269 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_helpers/__init__.py:139(_determine_default_project)
       82    0.001    0.000   10.022    0.122 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:502(request)
       82    0.001    0.000    9.916    0.121 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:673(send)
       82    0.001    0.000    9.901    0.121 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/adapters.py:434(send)
       82    0.002    0.000    9.867    0.120 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connectionpool.py:534(urlopen)
       82    0.002    0.000    9.846    0.120 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connectionpool.py:379(_make_request)
       41    0.001    0.000    9.437    0.230 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/transport/requests.py:482(request)
       39    0.000    0.000    9.431    0.242 /home/lucas/anaconda3/lib/python3.11/site-packages/google/resumable_media/requests/_request_helpers.py:117(wait_and_retry)
       38    0.000    0.000    9.164    0.241 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:1453(download_as_string)
       38    0.000    0.000    9.163    0.241 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:1329(download_as_bytes)
       38    0.001    0.000    9.163    0.241 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:4213(_prep_and_do_download)
       38    0.000    0.000    9.143    0.241 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:925(_do_download)
       38    0.000    0.000    9.141    0.241 /home/lucas/anaconda3/lib/python3.11/site-packages/google/resumable_media/requests/download.py:143(consume)
       38    0.000    0.000    9.139    0.240 /home/lucas/anaconda3/lib/python3.11/site-packages/google/resumable_media/requests/download.py:191(retriable_request)
     2518    0.002    0.000    7.084    0.003 /home/lucas/anaconda3/lib/python3.11/socket.py:692(readinto)
     2518    0.002    0.000    7.080    0.003 /home/lucas/anaconda3/lib/python3.11/ssl.py:1300(recv_into)
     2518    0.002    0.000    7.078    0.003 /home/lucas/anaconda3/lib/python3.11/ssl.py:1158(read)
     2518    7.076    0.003    7.076    0.003 {method 'read' of '_ssl._SSLSocket' objects}
       82    0.000    0.000    6.814    0.083 /home/lucas/anaconda3/lib/python3.11/http/client.py:1334(getresponse)
       82    0.001    0.000    6.812    0.083 /home/lucas/anaconda3/lib/python3.11/http/client.py:311(begin)
     2084    0.001    0.000    6.791    0.003 {method 'readline' of '_io.BufferedReader' objects}
       82    0.001    0.000    6.789    0.083 /home/lucas/anaconda3/lib/python3.11/http/client.py:278(_read_status)
       41    0.000    0.000    3.298    0.080 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/credentials.py:210(before_request)
       41    0.000    0.000    3.298    0.080 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/credentials.py:191(_blocking_refresh)
       40    0.000    0.000    3.297    0.082 /home/lucas/anaconda3/lib/python3.11/site-packages/google/oauth2/credentials.py:375(refresh)
       40    0.000    0.000    3.297    0.082 /home/lucas/anaconda3/lib/python3.11/site-packages/google/oauth2/reauth.py:281(refresh_grant)
       40    0.000    0.000    3.294    0.082 /home/lucas/anaconda3/lib/python3.11/site-packages/google/oauth2/_client.py:139(_token_endpoint_request_no_throw)
       40    0.000    0.000    3.291    0.082 /home/lucas/anaconda3/lib/python3.11/site-packages/google/oauth2/_client.py:190(_perform_request)
       40    0.000    0.000    3.290    0.082 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/transport/requests.py:155(__call__)
       82    0.000    0.000    3.013    0.037 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connectionpool.py:1050(_validate_conn)
       81    0.003    0.000    3.012    0.037 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connection.py:361(connect)
       81    0.001    0.000    2.323    0.029 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/ssl_.py:355(ssl_wrap_socket)
       81    1.263    0.016    1.263    0.016 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       81    0.000    0.000    1.056    0.013 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/ssl_.py:481(_ssl_wrap_socket_impl)
       81    0.000    0.000    1.056    0.013 /home/lucas/anaconda3/lib/python3.11/ssl.py:511(wrap_socket)
       81    0.002    0.000    1.056    0.013 /home/lucas/anaconda3/lib/python3.11/ssl.py:1018(_create)
       81    0.001    0.000    1.050    0.013 /home/lucas/anaconda3/lib/python3.11/ssl.py:1372(do_handshake)
       81    1.049    0.013    1.049    0.013 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.956    0.956 /home/lucas/Data Science/Project NBA/etl.py:281(upload_to_bucket)
        1    0.000    0.000    0.749    0.749 /home/lucas/Data Science/Project NBA/etl.py:291(check_file_exists)
       81    0.001    0.000    0.645    0.008 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connection.py:161(_new_conn)
       81    0.001    0.000    0.644    0.008 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/connection.py:37(create_connection)
        1    0.000    0.000    0.608    0.608 /home/lucas/Data Science/Project NBA/vizualisation.py:217(get_todays_games)
        1    0.000    0.000    0.595    0.595 /home/lucas/anaconda3/lib/python3.11/site-packages/nba_api/live/nba/endpoints/scoreboard.py:86(__init__)
        1    0.000    0.000    0.595    0.595 /home/lucas/anaconda3/lib/python3.11/site-packages/nba_api/live/nba/endpoints/scoreboard.py:94(get_request)
        1    0.000    0.000    0.594    0.594 /home/lucas/anaconda3/lib/python3.11/site-packages/nba_api/library/http.py:70(send_api_request)
        1    0.000    0.000    0.594    0.594 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/api.py:62(get)
        1    0.000    0.000    0.594    0.594 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/api.py:14(request)
       81    0.566    0.007    0.566    0.007 {method 'connect' of '_socket.socket' objects}
       57    0.110    0.002    0.431    0.008 {built-in method duckdb.duckdb.register}
        2    0.000    0.000    0.319    0.160 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:642(exists)
        2    0.000    0.000    0.319    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/client.py:406(_get_resource)
        2    0.000    0.000    0.319    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/_http.py:66(api_request)
        2    0.000    0.000    0.319    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/api_core/retry/retry_unary.py:286(retry_wrapped_func)
        2    0.000    0.000    0.319    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/api_core/retry/retry_unary.py:85(retry_target)
        2    0.000    0.000    0.319    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:383(api_request)
        2    0.000    0.000    0.318    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:276(_make_request)
        2    0.000    0.000    0.318    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:345(_do_request)
      450    0.000    0.000    0.314    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:812(generate)
      450    0.001    0.000    0.314    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/response.py:607(stream)
       38    0.001    0.000    0.311    0.008 /home/lucas/anaconda3/lib/python3.11/site-packages/google/resumable_media/requests/download.py:81(_write_to_stream)
